"Variable","IV"
"B_recency",0.177194012963195
"B_order_12mos",0.141612529173596
"B_amt_12mos",0.125577523722691
"B_order_NotChkIn_12mos",0.111396636207644
"B_amt_NotChkIn_12mos",0.108731099349839
"B_OdTp_PayPal_12mos",0.0843309541441413
"B_Hr_AMAWeb_12mos",0.0754806414257438
"B_Evt_Strategy_12mos",0.0623558113183569
"B_Hr_Email_12mos",0.05147377037591
"B_Evt_Volunteer_6mos",0.0495860287896138
"B_TkTp_AMA_12mos",0.0470162996279845
"B_order_NotChkIn_6mos",0.0464248453431769
"B_order_6mos",0.0453246097979998
"B_OdTp_Free_6mos",0.0450680256362053
"B_OdTp_Free_12mos",0.0441681548394619
"B_Evt_Volunteer_12mos",0.0372900549272769
"B_Hr_Email_6mos",0.0350623642030937
"B_Evt_Party_12mos",0.0348029321601861
"B_TkTp_Other_6mos",0.0334088923863287
"B_TkTp_NonAMA_12mos",0.0327907116930343
"B_TkTp_Other_12mos",0.032756028355779
"B_TkTp_AMA_6mos",0.0284927424643593
"B_Hr_Friend_12mos",0.0281145095818293
"B_TkTp_AMAEarly_12mos",0.0277153935674581
"B_Hr_SocialMedia_6mos",0.0277104930466052
"B_amt_ChkIn_12mos",0.02745931636746
"B_Hr_Other_6mos",0.0268031603599707
"B_amt_6mos",0.02593792449372
"B_OdTp_PayPal_6mos",0.0254666893851571
"B_TkTp_NonAMAEarly_12mos",0.0253472983825831
"B_order_ChkIn_12mos",0.0245165374294022
"B_OdTp_Complimentary_12mos",0.0234285970547283
"B_Hr_Other_12mos",0.0233683601054716
"B_TkTp_Volunteer_12mos",0.0231750915558199
"B_Evt_Strategy_6mos",0.0219334676991606
"B_Hr_AWAWeb_6mos",0.0213665221857887
"B_order_ChkIn_6mos",0.0210880261419179
"B_TkTp_NonAMA_6mos",0.0200541899140485
"B_amt_NotChkIn_6mos",0.0194149789416011
"B_amt_ChkIn_6mos",0.0187819930089117
"B_TkTp_NonAMAEarly_6mos",0.0187602259917088
"B_Evt_Party_6mos",0.0185030364389652
"B_TkTp_Volunteer_6mos",0.0184808542516982
"B_TkTp_AMAEarly_6mos",0.0184439288065603
"B_Hr_Friend_6mos",0.0183451627728617
"B_OdTp_Complimentary_6mos",0.0182259679498701
"B_Hr_SocialMedia_12mos",0.0181992842495789
"B_OdTp_Other_12mos",0.0181870165380072
"B_OdTp_Other_6mos",0.0181870165380072
