"MEMBER.ID"	"MEMBER.TYPE"	"MARKETING.ROLE"	"MEMBER.SINCE.DATE"	"EXPIRATION.DATE"	"STATUS"	"MARKETINGPOWER.STATUS"	"PREFIX"	"SUFFIX"	"ADDRESS.CHANGE.DATE"	"COMMUNICATION.CHANGE.DATE"	"ALLOW.EMAIL.FLAG"	"COMPANY.NAME"	"JOB.TITLE"	"PRIMARY.ADDRESS.TYPE"	"PRIMARY.CITY"	"PRIMARY.STATE"	"PRIMARY.POSTAL.CODE"	"PRIMARY.COUNTRY"	"PRIMARY.PHONE.LOCATION"	"ALLOW.PHONE.CALLS"	"SECONDARY.ADDRESS.TYPE"	"SECONDARY.CITY"	"SECONDARY.STATE"	"SECONDARY.POSTAL.CODE"	"SECONDARY.COUNTRY"	"GROUP"	"MARKETING.RESPONSIBILITY"	"STUDENT.GRADUATION.DATE"	"HIGHEST.DEGREE"	"YEARS.IN.MARKETING"	"JOB.TITLE.CATEGORY"	"INDUSTRY"	"COMPANY.SALES.REVENUE"	"COMPANY.SIZE"	"RESPONSIBILITY.TYPE"	"YEARS.EMPLOYED.AT.COMPANY"	"AGE.CATEGORY"	"NUMBER.OF.OTHER.ASSOCS"	"PAID.BY.COMPANY"	"PRIMARY.TOPIC.AREA"	"SECONDARY.TOPIC.AREA"	"TERTIARY.TOPIC.AREA"	"DATE.LAST.MODIFIED"	"DATE.PULLED"	"MEMBER.FOCUS"	"AUTO.RENEWAL"	"MARKET.CODE"	"RENEW"
726952	"PROFESSIONAL"	"Academics"	1983-09-01	2014-04-30	"CURRENT"	"CONFIRMED"	"DR"	NA	NA	NA	"N"	"Babson College"	"Professor and Chair"	"BUS"	"Babson Park"	"MA"	"02457"	"United States"	"WORK"	"N"	NA	NA	NA	NA	NA	"No"	"Education"	"05/01/1987"	"Doctorate"	"20PLUS"	"Academic/Professor"	"Education"	NA	"10 to 49"	"B to C"	NA	"45 to 54"	"4 to 5"	"N"	"Global Marketing"	"Academia"	"Strategy/Planning"	"06/19/2013"	2013-12-31	NA	NA	NA	1
823589	"PROFESSIONAL"	"Researchers"	1987-12-11	2014-04-30	"CURRENT"	"CONFIRMED"	"MR"	NA	NA	NA	"Y"	"Research Results Inc"	"President"	"BUS"	"Fitchburg"	"MA"	"01420-3111"	"United States"	"WORK"	"N"	"HOME"	"Fitchburg"	"MA"	"01420"	"United States"	"No"	"Marketing Communications"	NA	"Bachelors"	"20PLUS"	"CEO/President"	"Marketing Research"	"51M to 100M"	"10 to 49"	"B to C"	NA	"35 to 44"	"0 to 1"	"Y"	"Marketing Research"	"Online/Interactive Marketing"	"Database/CRM"	"02/03/2010"	2013-12-31	NA	NA	NA	1
835986	"PROFESSIONAL"	"Academics"	2000-01-01	2014-04-30	"CURRENT"	"UNCONFIRMED"	"MR"	NA	NA	NA	"Y"	"Massachusetts Institute of Technology"	"Professor of Management"	"BUS"	"Cambridge"	"MA"	"02139"	"United States"	"WORK"	"Y"	"BUS"	"Cambridge"	"MA"	"02142"	"United States"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"B to C"	NA	NA	NA	NA	"Strategy/Planning"	"Marketing Research"	"Online/Interactive Marketing"	"11/03/2004"	2013-12-31	NA	NA	NA	1
872765	"PROFESSIONAL"	"Marketers"	1989-12-15	2014-04-30	"CURRENT"	"UNCONFIRMED"	"MS"	NA	NA	NA	"Y"	"Brigham & Women Hospital"	"Director"	"BUS"	"Chestnut Hill"	"MA"	"02467"	"United States"	"HOME"	"Y"	"HOME"	"Reading"	"MA"	"01867"	"United States"	"No"	"Direct Marketing"	NA	NA	"5 to 9"	NA	"Health Care Services"	NA	NA	"B to C"	NA	NA	NA	NA	"Strategy/Planning"	"Advertising"	"Professional Development"	"05/05/2011"	2013-12-31	NA	NA	NA	1
2154700	"PROFESSIONAL"	"Researchers"	1999-10-01	2014-04-30	"CURRENT"	"CONFIRMED"	"MS"	NA	NA	NA	"Y"	"Forbes Consulting Group"	"Senior Project Manager"	"BUS"	"Lexington"	"MA"	"02421"	"United States"	"WORK"	"N"	"HOME"	"Arlington"	"MA"	"02174"	"United States"	"No"	"Market Research  to  Supplier Side"	NA	NA	"10 to 19"	"Consultant"	"Marketing Research"	NA	"10 to 49"	"B to C"	NA	NA	NA	"N"	"Marketing Research"	"Strategy/Planning"	NA	"01/08/2013"	2013-12-31	NA	NA	NA	1
2173445	"PROFESSIONAL"	"Researchers"	1998-07-31	2014-04-30	"CURRENT"	"UNCONFIRMED"	"MR"	NA	NA	NA	"Y"	NA	NA	"BUS"	"Westborough"	"MA"	"01581"	"United States"	"CELL"	"N"	"HOME"	"Westborough"	"MA"	"01581"	"United States"	"No"	"Market Research  to  Supplier Side"	NA	"Doctorate"	"10 to 19"	"Manager/Sr. Manager"	"Professional Services"	NA	"5000 to 9999"	"B to C"	NA	"45 to 54"	"0 to 1"	"N"	"Brand/Product Management"	"Database/CRM"	"Marketing Research"	"04/23/2013"	2013-12-31	NA	NA	NA	1
2813123	"PROFESSIONAL"	"Academics"	2004-12-20	2014-04-30	"CURRENT"	"CONFIRMED"	"DR"	NA	NA	NA	"Y"	"Roger Williams University"	NA	"BUS"	"Bristol"	"RI"	"02809"	"United States"	"HOME"	"N"	NA	NA	NA	NA	NA	"No"	NA	NA	"Doctorate"	"10 to 19"	"Academic/Professor"	"Education"	NA	"250 to 999"	"B to C"	NA	"22 to 34"	"2 to 3"	"N"	"Advertising"	"Database/CRM"	"Global Marketing"	"04/29/2013"	2013-12-31	NA	NA	NA	0
2841296	"PROFESSIONAL"	"Marketers"	2001-11-12	2014-04-30	"CURRENT"	"UNCONFIRMED"	"MR"	NA	NA	NA	"Y"	"A&G Brand Promotion"	"Managing Director"	"BUS"	"Boston"	"MA"	"02210"	"United States"	"WORK"	"N"	"HOME"	"North Smithfield"	"RI"	"02896"	"United States"	"No"	"Promotions"	NA	"Masters"	"20PLUS"	"Director/Sr. Director"	"Advertising"	"101M to 500M"	"50 to 249"	"B to B"	NA	"45 to 54"	"4 to 5"	"N"	"Brand/Product Management"	"Event Management Marketing"	NA	"03/26/2013"	2013-12-31	NA	NA	NA	0
2889836	"PROFESSIONAL"	"Researchers"	2003-05-02	2014-04-30	"CURRENT"	"UNCONFIRMED"	"DR"	NA	NA	NA	"Y"	NA	NA	"HOME"	"Weston"	"MA"	"02493"	"United States"	"WORK"	"Y"	"BUS"	"Waltham"	"MA"	"02451"	"United States"	"No"	"Market Research  to  Supplier Side"	NA	"Doctorate"	"10 to 19"	NA	"Marketing Research"	NA	"50 to 249"	"B to B"	NA	NA	NA	"N"	"Analytics/Metrics"	"Marketing Research"	"Online/Interactive Marketing"	"04/25/2013"	2013-12-31	NA	NA	NA	1
3007728	"PROFESSIONAL"	"Marketers"	2006-03-31	2014-04-30	"CURRENT"	"UNCONFIRMED"	"MR"	NA	NA	NA	"Y"	NA	NA	"HOME"	"Peabody"	"MA"	"01960-4387"	"United States"	"WORK"	"Y"	NA	NA	NA	NA	NA	"No"	"Events/Exhibits"	NA	"Masters"	"5 to 9"	"Assitant/Coordinator"	"Professional Services"	"0 to 50 Million"	"1 to 9"	"B to B"	"LESS2"	"22 to 34"	"0 to 1"	NA	"Event Management Marketing"	"Strategy/Planning"	"Analytics/Metrics"	"04/25/2013"	2013-12-31	NA	NA	NA	1
