B_order_12mos
"t","Freq"
"0",189
"1",124
"2",44
"3",21
"4",10
"5",7
"6",2
"7",3
"8",2
"9",2
"10",1
"11",1
"12",1
"13",1
B_order_6mos
"t","Freq"
"0",272
"1",79
"2",31
"3",12
"4",8
"5",1
"6",2
"8",2
"9",1
B_order_ChkIn_12mos
"t","Freq"
"0",367
"1",30
"2",9
"4",2
B_order_ChkIn_6mos
"t","Freq"
"0",384
"1",18
"2",5
"3",1
B_order_NotChkIn_12mos
"t","Freq"
"0",206
"1",116
"2",42
"3",20
"4",11
"5",1
"6",2
"7",3
"8",2
"9",2
"10",2
"11",1
B_order_NotChkIn_6mos
"t","Freq"
"0",282
"1",80
"2",27
"3",8
"4",5
"5",1
"6",2
"8",2
"9",1
B_amt_12mos
"t","Freq"
"0",262
"11.24",8
"16.37",13
"18.42",2
"20.21",1
"20.47",5
"21.49",9
"22.52",5
"24.53",1
"26.62",7
"27.61",1
"28.67",5
"29.69",2
"31.74",6
"32.74",1
"33.79",4
"36.87",15
"37.86",3
"41.99",4
"42.99",1
"44.01",2
"45.04",1
"47.12",4
"53.2",1
"53.23",1
"53.24",1
"57.37",6
"58.36",1
"59.39",1
"62.46",1
"62.49",1
"63.49",2
"64.51",2
"68.61",1
"73.74",1
"75.75",1
"77.87",3
"78.83",1
"78.86",2
"81.9",1
"81.91",1
"82.96",1
"83.98",1
"83.99",1
"86.01",1
"90.05",1
"94.21",1
"94.24",1
"99.36",1
"104.46",1
"104.49",1
"105.48",1
"115.73",1
"116.73",1
"125.98",1
"126.98",1
"132.07",1
"134.12",1
"296.97",1
B_amt_6mos
"t","Freq"
"0",322
"11.24",9
"16.37",3
"18.42",1
"20.47",4
"21.49",9
"22.52",3
"24.53",1
"26.62",4
"31.74",6
"36.87",13
"37.86",1
"38.89",1
"41.99",7
"47.12",1
"53.2",1
"53.23",1
"53.24",1
"57.37",5
"59.39",1
"62.46",2
"64.51",1
"73.74",2
"77.84",1
"77.87",3
"78.83",1
"83.99",1
"94.24",1
"99.36",1
"110.57",1
B_amt_ChkIn_12mos
"t","Freq"
"0",385
"11.24",5
"16.37",3
"20.47",2
"21.49",2
"27.61",1
"28.67",2
"33.79",3
"36.87",1
"47.12",4
B_amt_ChkIn_6mos
"t","Freq"
"0",398
"11.24",6
"16.37",1
"21.49",2
"36.87",1
B_amt_NotChkIn_12mos
"t","Freq"
"0",278
"11.24",4
"13.29",1
"16.37",12
"18.42",2
"20.21",1
"20.47",4
"21.49",7
"22.52",5
"26.62",7
"27.61",1
"28.67",3
"29.69",2
"31.74",6
"32.74",1
"33.79",1
"36.87",14
"37.86",3
"38.89",1
"41.99",4
"42.99",1
"44.01",2
"45.04",1
"47.12",2
"53.2",1
"53.23",1
"53.24",1
"57.37",7
"58.36",1
"59.39",1
"62.46",1
"62.49",1
"63.49",2
"64.51",2
"68.61",1
"69.58",1
"69.61",1
"75.75",1
"77.87",4
"78.83",1
"78.86",2
"81.9",1
"81.91",1
"82.96",1
"83.98",1
"83.99",1
"88.12",1
"94.21",1
"94.24",1
"99.36",1
"104.46",1
"115.73",1
"125.98",1
"126.98",1
"132.07",1
"134.12",1
"296.97",1
B_amt_NotChkIn_6mos
"t","Freq"
"0",330
"11.24",4
"13.29",1
"16.37",3
"18.42",1
"20.47",4
"21.49",7
"22.52",3
"26.62",4
"31.74",6
"36.87",12
"37.86",1
"38.89",1
"41.99",7
"47.12",1
"53.2",1
"53.23",1
"53.24",1
"57.37",6
"59.39",1
"62.46",2
"64.51",1
"73.74",1
"77.84",1
"77.87",3
"78.83",1
"83.99",1
"94.24",1
"99.36",1
"110.57",1
B_recency
"t","Freq"
"0",30
"2",2
"3",2
"4",2
"10",3
"12",1
"13",1
"17",1
"18",2
"21",2
"23",5
"24",2
"28",1
"31",2
"36",1
"37",3
"39",1
"40",1
"41",1
"43",1
"45",1
"46",1
"47",5
"50",1
"51",1
"53",1
"54",2
"57",1
"60",1
"61",2
"62",2
"63",1
"66",1
"67",1
"68",1
"72",2
"77",1
"79",1
"82",1
"84",1
"85",2
"86",1
"91",2
"94",1
"96",1
"99",1
"104",1
"106",2
"116",1
"119",1
"122",1
"123",1
"126",2
"127",1
"128",2
"131",1
"132",1
"135",1
"137",1
"139",1
"143",1
"144",1
"145",2
"146",1
"149",1
"153",1
"155",1
"156",1
"158",1
"159",2
"160",1
"162",1
"163",2
"166",1
"168",1
"171",2
"172",2
"173",1
"174",2
"177",1
"179",1
"180",1
"183",1
"184",1
"185",1
"188",1
"191",1
"192",1
"193",1
"194",1
"195",1
"196",2
"197",1
"199",1
"200",1
"203",2
"204",1
"206",1
"209",1
"210",1
"211",1
"217",2
"220",2
"221",1
"226",2
"227",1
"229",1
"230",1
"232",1
"233",1
"234",1
"235",1
"239",1
"240",1
"242",1
"243",1
"244",1
"245",1
"247",1
"248",2
"249",2
"250",1
"253",1
"254",4
"256",1
"257",4
"258",2
"260",1
"261",1
"262",1
"263",3
"264",3
"265",1
"266",1
"268",1
"269",2
"270",1
"272",1
"275",1
"279",1
"280",4
"281",1
"285",1
"287",1
"292",1
"293",1
"294",1
"298",4
"307",1
"316",1
"326",1
"332",1
"336",1
"341",2
"345",1
"355",1
"356",1
"359",3
"368",2
"379",1
"382",1
"388",1
"389",1
"392",1
"396",1
"401",1
"402",1
"406",1
"408",1
"420",1
"423",1
"427",1
"429",1
"437",2
"444",1
"447",2
"461",1
"469",1
"470",1
"480",1
"489",1
"491",1
"494",1
"497",1
"500",1
"502",1
"508",1
"509",1
"521",2
"553",1
"563",1
"565",1
"574",1
"579",1
"580",1
"581",1
"586",1
"608",1
"613",1
"622",1
"627",1
"628",1
"635",1
"636",1
"637",1
"645",3
"646",1
"648",1
"650",1
"652",2
"656",1
"679",1
"685",1
"694",1
"716",1
"720",1
"737",1
"741",1
"745",1
"751",1
"753",1
"754",1
"758",1
"767",1
"774",1
"775",1
"778",1
"786",1
"793",1
"801",1
"813",2
"823",1
"881",1
"910",1
"924",2
"930",1
"932",1
"935",1
"938",1
"946",1
"947",1
"951",1
"978",1
"1028",1
"1043",1
"1054",1
"1059",1
"1069",1
"1081",1
"1098",1
"1116",1
"1134",1
"1140",2
"1151",1
"1158",1
"1172",1
"1202",1
"1224",1
"1235",1
"1243",1
"1264",1
"1275",1
"1288",1
"1290",1
"1294",1
"1337",1
"1339",1
"1367",1
"1369",1
"1384",1
"1393",1
"1409",1
"1419",1
"1421",1
"1452",1
"1454",1
"1478",1
"1498",1
"1500",1
"1502",1
"1505",2
"1537",1
"1608",1
"1629",1
"1645",1
"1649",1
"1654",1
"1656",1
"1707",1
"1734",2
"1745",1
"1775",1
"1786",2
"1819",1
"1837",1
"1868",1
"1871",1
"1927",1
"2009",1
"2075",1
"2151",1
"2152",1
"2518",1
"2554",1
B_OdTp_Free_12mos
"t","Freq"
"0",301
"1",63
"2",17
"3",11
"4",6
"5",3
"6",1
"7",1
"9",1
"10",2
"12",1
"13",1
B_OdTp_Free_6mos
"t","Freq"
"0",336
"1",41
"2",15
"3",10
"4",1
"5",1
"6",1
"8",2
"9",1
B_OdTp_PayPal_12mos
"t","Freq"
"0",262
"1",100
"2",29
"3",11
"4",2
"5",3
"9",1
B_OdTp_PayPal_6mos
"t","Freq"
"0",322
"1",68
"2",15
"3",2
"4",1
B_OdTp_Complimentary_12mos
"t","Freq"
"0",404
"1",4
B_OdTp_Complimentary_6mos
"t","Freq"
"0",406
"1",2
B_OdTp_Other_12mos
"t","Freq"
"0",408
B_OdTp_Other_6mos
"t","Freq"
"0",408
B_TkTp_AMA_12mos
"t","Freq"
"0",262
"1",100
"2",23
"3",13
"4",5
"5",2
"6",2
"8",1
B_TkTp_AMA_6mos
"t","Freq"
"0",308
"1",69
"2",22
"3",6
"4",2
"7",1
B_TkTp_AMAEarly_12mos
"t","Freq"
"0",327
"1",54
"2",18
"3",3
"4",2
"5",1
"7",1
"8",2
B_TkTp_AMAEarly_6mos
"t","Freq"
"0",363
"1",32
"2",10
"3",1
"4",1
"6",1
B_TkTp_NonAMA_12mos
"t","Freq"
"0",391
"1",16
"2",1
B_TkTp_NonAMA_6mos
"t","Freq"
"0",405
"1",3
B_TkTp_NonAMAEarly_12mos
"t","Freq"
"0",397
"1",10
"2",1
B_TkTp_NonAMAEarly_6mos
"t","Freq"
"0",407
"1",1
B_TkTp_Volunteer_12mos
"t","Freq"
"0",397
"1",10
"2",1
B_TkTp_Volunteer_6mos
"t","Freq"
"0",403
"1",5
B_TkTp_Other_12mos
"t","Freq"
"0",357
"1",51
B_TkTp_Other_6mos
"t","Freq"
"0",377
"1",31
B_Hr_AMAWeb_12mos
"t","Freq"
"0",366
"1",35
"2",5
"3",2
B_Hr_AWAWeb_6mos
"t","Freq"
"0",391
"1",14
"2",3
B_Hr_Email_12mos
"t","Freq"
"0",244
"1",109
"2",30
"3",10
"4",8
"6",2
"7",2
"8",1
"9",1
"11",1
B_Hr_Email_6mos
"t","Freq"
"0",301
"1",79
"2",17
"3",6
"4",2
"6",1
"7",1
"8",1
B_Hr_SocialMedia_12mos
"t","Freq"
"0",397
"1",8
"2",3
B_Hr_SocialMedia_6mos
"t","Freq"
"0",403
"1",5
B_Hr_Friend_12mos
"t","Freq"
"0",390
"1",15
"2",1
"3",1
"4",1
B_Hr_Friend_6mos
"t","Freq"
"0",400
"1",7
"3",1
B_Hr_Other_12mos
"t","Freq"
"0",340
"1",51
"2",13
"3",4
B_Hr_Other_6mos
"t","Freq"
"0",363
"1",34
"2",11
B_Evt_Party_12mos
"t","Freq"
"0",334
"1",57
"2",14
"3",2
"4",1
B_Evt_Party_6mos
"t","Freq"
"0",365
"1",38
"2",5
B_Evt_Strategy_12mos
"t","Freq"
"0",254
"1",92
"2",35
"3",11
"4",5
"5",5
"6",2
"7",1
"8",1
"9",1
"11",1
B_Evt_Strategy_6mos
"t","Freq"
"0",310
"1",59
"2",27
"3",7
"4",1
"5",2
"6",1
"7",1
B_Evt_Volunteer_12mos
"t","Freq"
"0",335
"1",66
"2",6
"3",1
B_Evt_Volunteer_6mos
"t","Freq"
"0",368
"1",38
"2",2
